# NPCI UPI per-application statistics - hand-seeded.
#
# WHY THIS FILE EXISTS: npci.org.in serves HTTP 403 to every scripted request.
# These rows were read from the "UPI Applications" tab of the NPCI Ecosystem
# Statistics page in a real browser session on 2026-08-21. See docs/REFRESH.md.
#
# WHAT IT IS: monthly volume and value for the ten largest UPI apps. This is the
# only open source that attributes UPI activity to a PLAYER - PhonePe Pulse is
# PhonePe-only and the headline NPCI series is market-total.
#
# COVERAGE LIMIT: NPCI renders only 10 rows and offers no pagination, so this is
# the top ten by volume, not the full field. Shares are therefore computed
# against the NPCI NATIONAL monthly total (data/processed/upi_monthly.csv), not
# against the sum of these rows - which also yields an honest "everyone else"
# residual rather than pretending the ten apps are the whole market.
#
# WHY THE SERIES STARTS 2023-12: for earlier months NPCI renders the same capped
# ten rows ALPHABETICALLY rather than by size, so PhonePe is not even present in
# December 2022. Those months are unusable, not merely inconvenient.
#
# App names are transcribed VERBATIM and drift over time ("Phone Pe" / "PhonePe",
# "Fampay" / "FamApp by Trio"). Normalisation happens in fetch_upi_apps.py so the
# raw record stays checkable against the source. A trailing "#" is NPCI's own
# marker for a third-party application provider (TPAP).
#
# Units: volume_mn = million transactions; value_cr = INR crore.

month,app_raw,volume_mn,value_cr,source_url,accessed
2026-02,Phone Pe #,9284.22,1310392.95,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-02,Google Pay #,6767.14,903051.6,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-02,Paytm #,1595.09,174128.86,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-02,Navi #,650.28,36563.0,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-02,super.money #,289.32,12314.08,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-02,BHIM,175.93,21263.92,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-02,FamApp by Trio #,149.06,1898.62,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-02,Cred #,145.98,54045.92,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-02,Axis Bank Apps,132.11,12157.93,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-02,Whatsapp #,112.89,8557.08,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-03,Phone Pe #,10503.81,1448286.63,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-03,Google Pay #,7535.71,999480.47,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-03,Paytm #,1770.0,192610.34,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-03,Navi #,790.34,43044.76,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-03,super.money #,341.24,14788.83,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-03,BHIM,202.44,24718.8,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-03,FamApp by Trio #,168.6,2250.14,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-03,Cred #,163.2,62029.55,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-03,Axis Bank Apps,135.4,13180.82,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-03,Whatsapp #,130.74,9917.41,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-04,Phone Pe #,10330.3,1431722.56,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-04,Google Pay #,7359.44,972068.42,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-04,Paytm #,1778.06,194317.77,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-04,Navi #,801.87,42683.85,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-04,super.money #,369.41,16365.13,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-04,BHIM,210.17,25198.44,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-04,FamApp by Trio #,182.87,2503.31,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-04,Cred #,157.51,56569.08,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-04,Whatsapp #,138.69,10498.22,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-04,Axis Bank Apps,125.81,10253.66,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-05,Phone Pe #,10734.58,1467168.63,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-05,Google Pay #,7598.37,1002878.34,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-05,Paytm #,1836.02,199103.37,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-05,Navi #,824.11,43601.66,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-05,super.money #,418.84,19422.73,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-05,BHIM,227.49,26013.59,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-05,FamApp by Trio #,197.32,2738.59,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-05,Cred #,157.19,61002.44,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-05,Whatsapp #,150.43,11425.02,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-05,Axis Bank Apps,134.2,13185.15,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-06,Phone Pe #,10483.73,1419193.39,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-06,Google Pay #,7407.71,967055.79,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-06,Paytm #,1798.84,192617.38,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-06,Navi #,842.51,43948.56,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-06,super.money #,430.24,20252.4,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-06,BHIM,223.54,25612.81,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-06,FamApp by Trio #,195.31,2666.23,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-06,Whatsapp #,150.48,11391.85,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-06,Cred #,141.78,55116.79,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-06,Axis Bank Apps,136.16,13120.62,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-07,Phone Pe #,10857.91,1443982.58,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-07,Google Pay #,7649.82,1001101.5,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-07,Paytm #,1903.87,204565.74,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-07,Navi #,947.08,48318.02,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-07,super.money #,437.27,20838.19,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-07,BHIM,242.27,28632.66,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-07,FamApp by Trio #,206.19,2820.96,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-07,Whatsapp #,167.89,12957.07,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-07,Axis Bank Apps,143.77,13939.94,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
2026-07,Cred #,142.1,59278.7,https://www.npci.org.in/product/ecosystem-statistics/upi,2026-08-21
