date,ticker,bank,cohort,close
2021-12-13,CANBK.NS,Canara Bank,Public,36.766204833984375
2021-12-14,CANBK.NS,Canara Bank,Public,36.495365142822266
2021-12-15,CANBK.NS,Canara Bank,Public,35.75902557373047
2021-12-16,CANBK.NS,Canara Bank,Public,35.919830322265625
2021-12-17,CANBK.NS,Canara Bank,Public,34.21017074584961
2021-12-20,CANBK.NS,Canara Bank,Public,32.30584716796875
2021-12-21,CANBK.NS,Canara Bank,Public,32.534366607666016
2021-12-22,CANBK.NS,Canara Bank,Public,33.465370178222656
2021-12-23,CANBK.NS,Canara Bank,Public,33.939334869384766
2021-12-24,CANBK.NS,Canara Bank,Public,32.83059310913086
2021-12-27,CANBK.NS,Canara Bank,Public,33.109893798828125
2021-12-28,CANBK.NS,Canara Bank,Public,33.49075698852539
2021-12-29,CANBK.NS,Canara Bank,Public,33.29609680175781
2021-12-30,CANBK.NS,Canara Bank,Public,33.008331298828125
2021-12-31,CANBK.NS,Canara Bank,Public,33.84623718261719
2022-01-03,CANBK.NS,Canara Bank,Public,34.77724075317383
2022-01-04,CANBK.NS,Canara Bank,Public,34.963443756103516
2022-01-05,CANBK.NS,Canara Bank,Public,35.71670913696289
2022-01-06,CANBK.NS,Canara Bank,Public,35.97061538696289
2022-01-07,CANBK.NS,Canara Bank,Public,35.936763763427734
2022-01-10,CANBK.NS,Canara Bank,Public,37.189388275146484
2022-01-11,CANBK.NS,Canara Bank,Public,37.477149963378906
2022-01-12,CANBK.NS,Canara Bank,Public,37.70566940307617
2022-01-13,CANBK.NS,Canara Bank,Public,38.14577865600586
2022-01-14,CANBK.NS,Canara Bank,Public,38.53511047363281
2022-01-17,CANBK.NS,Canara Bank,Public,38.543575286865234
2022-01-18,CANBK.NS,Canara Bank,Public,37.76491928100586
2022-01-19,CANBK.NS,Canara Bank,Public,38.66206359863281
2022-01-20,CANBK.NS,Canara Bank,Public,38.670528411865234
2022-01-21,CANBK.NS,Canara Bank,Public,36.495365142822266
2022-01-24,CANBK.NS,Canara Bank,Public,35.32738494873047
2022-01-25,CANBK.NS,Canara Bank,Public,37.477149963378906
2022-01-27,CANBK.NS,Canara Bank,Public,40.76105880737305
2022-01-28,CANBK.NS,Canara Bank,Public,40.4394416809082
2022-01-31,CANBK.NS,Canara Bank,Public,42.81772994995117
2022-02-01,CANBK.NS,Canara Bank,Public,43.79951477050781
2022-02-02,CANBK.NS,Canara Bank,Public,45.64459991455078
2022-02-03,CANBK.NS,Canara Bank,Public,44.840545654296875
2022-02-04,CANBK.NS,Canara Bank,Public,44.18038558959961
2022-02-07,CANBK.NS,Canara Bank,Public,43.68948745727539
2022-02-08,CANBK.NS,Canara Bank,Public,44.129600524902344
2022-02-09,CANBK.NS,Canara Bank,Public,44.05342483520508
2022-02-10,CANBK.NS,Canara Bank,Public,43.80797576904297
2022-02-11,CANBK.NS,Canara Bank,Public,42.57228088378906
2022-02-14,CANBK.NS,Canara Bank,Public,39.7369499206543
2022-02-15,CANBK.NS,Canara Bank,Public,41.97136306762695
2022-02-16,CANBK.NS,Canara Bank,Public,41.353511810302734
2022-02-17,CANBK.NS,Canara Bank,Public,40.524078369140625
2022-02-18,CANBK.NS,Canara Bank,Public,40.329410552978516
2022-02-21,CANBK.NS,Canara Bank,Public,39.4322624206543
2022-02-22,CANBK.NS,Canara Bank,Public,39.00907897949219
2022-02-23,CANBK.NS,Canara Bank,Public,38.78902053833008
2022-02-24,CANBK.NS,Canara Bank,Public,35.259666442871094
2022-02-25,CANBK.NS,Canara Bank,Public,36.97779083251953
2022-02-28,CANBK.NS,Canara Bank,Public,37.172454833984375
2022-03-02,CANBK.NS,Canara Bank,Public,36.58846664428711
2022-03-03,CANBK.NS,Canara Bank,Public,36.38533401489258
2022-03-04,CANBK.NS,Canara Bank,Public,35.57282257080078
2022-03-07,CANBK.NS,Canara Bank,Public,33.99857711791992
2022-03-08,CANBK.NS,Canara Bank,Public,35.43740463256836
2022-03-09,CANBK.NS,Canara Bank,Public,35.885982513427734
2022-03-10,CANBK.NS,Canara Bank,Public,36.292236328125
2022-03-11,CANBK.NS,Canara Bank,Public,36.893157958984375
2022-03-14,CANBK.NS,Canara Bank,Public,37.43483352661133
2022-03-15,CANBK.NS,Canara Bank,Public,37.05397033691406
2022-03-16,CANBK.NS,Canara Bank,Public,37.98497009277344
2022-03-17,CANBK.NS,Canara Bank,Public,38.2642707824707
2022-03-21,CANBK.NS,Canara Bank,Public,38.07807540893555
2022-03-22,CANBK.NS,Canara Bank,Public,38.25581359863281
2022-03-23,CANBK.NS,Canara Bank,Public,38.13732147216797
2022-03-24,CANBK.NS,Canara Bank,Public,38.19655990600586
2022-03-25,CANBK.NS,Canara Bank,Public,38.13732147216797
2022-03-28,CANBK.NS,Canara Bank,Public,38.71284866333008
2022-03-29,CANBK.NS,Canara Bank,Public,38.670528411865234
2022-03-30,CANBK.NS,Canara Bank,Public,38.670528411865234
2022-03-31,CANBK.NS,Canara Bank,Public,38.55203628540039
2022-04-01,CANBK.NS,Canara Bank,Public,40.6171760559082
2022-04-04,CANBK.NS,Canara Bank,Public,40.8456916809082
2022-04-05,CANBK.NS,Canara Bank,Public,41.124996185302734
2022-04-06,CANBK.NS,Canara Bank,Public,41.95443344116211
2022-04-07,CANBK.NS,Canara Bank,Public,41.75131607055664
2022-04-08,CANBK.NS,Canara Bank,Public,42.03907012939453
2022-04-11,CANBK.NS,Canara Bank,Public,41.65821075439453
2022-04-12,CANBK.NS,Canara Bank,Public,40.87108612060547
2022-04-13,CANBK.NS,Canara Bank,Public,41.074214935302734
2022-04-18,CANBK.NS,Canara Bank,Public,39.66078567504883
2022-04-19,CANBK.NS,Canara Bank,Public,39.720027923583984
2022-04-20,CANBK.NS,Canara Bank,Public,39.457645416259766
2022-04-21,CANBK.NS,Canara Bank,Public,40.28709030151367
2022-04-22,CANBK.NS,Canara Bank,Public,39.4830436706543
2022-04-25,CANBK.NS,Canara Bank,Public,38.602821350097656
2022-04-26,CANBK.NS,Canara Bank,Public,39.872371673583984
2022-04-27,CANBK.NS,Canara Bank,Public,39.220672607421875
2022-04-28,CANBK.NS,Canara Bank,Public,39.474578857421875
2022-04-29,CANBK.NS,Canara Bank,Public,38.873653411865234
2022-05-02,CANBK.NS,Canara Bank,Public,38.890586853027344
2022-05-04,CANBK.NS,Canara Bank,Public,37.73106384277344
2022-05-05,CANBK.NS,Canara Bank,Public,38.04422378540039
2022-05-06,CANBK.NS,Canara Bank,Public,37.13014221191406
2022-05-09,CANBK.NS,Canara Bank,Public,34.08321762084961
2022-05-10,CANBK.NS,Canara Bank,Public,33.80391311645508
2022-05-11,CANBK.NS,Canara Bank,Public,34.22710037231445
2022-05-12,CANBK.NS,Canara Bank,Public,32.627464294433594
2022-05-13,CANBK.NS,Canara Bank,Public,32.72056579589844
2022-05-16,CANBK.NS,Canara Bank,Public,33.47383499145508
2022-05-17,CANBK.NS,Canara Bank,Public,34.3202018737793
2022-05-18,CANBK.NS,Canara Bank,Public,33.35533905029297
2022-05-19,CANBK.NS,Canara Bank,Public,31.64568328857422
2022-05-20,CANBK.NS,Canara Bank,Public,32.906768798828125
2022-05-23,CANBK.NS,Canara Bank,Public,32.27199172973633
2022-05-24,CANBK.NS,Canara Bank,Public,32.11964797973633
2022-05-25,CANBK.NS,Canara Bank,Public,31.527189254760742
2022-05-26,CANBK.NS,Canara Bank,Public,33.14375305175781
2022-05-27,CANBK.NS,Canara Bank,Public,33.52461624145508
2022-05-30,CANBK.NS,Canara Bank,Public,35.3781623840332
2022-05-31,CANBK.NS,Canara Bank,Public,34.70106887817383
2022-06-01,CANBK.NS,Canara Bank,Public,35.33584213256836
2022-06-02,CANBK.NS,Canara Bank,Public,36.148353576660156
2022-06-03,CANBK.NS,Canara Bank,Public,35.73363494873047
2022-06-06,CANBK.NS,Canara Bank,Public,35.62360763549805
2022-06-07,CANBK.NS,Canara Bank,Public,35.38662338256836
2022-06-08,CANBK.NS,Canara Bank,Public,35.69977951049805
2022-06-09,CANBK.NS,Canara Bank,Public,35.12424850463867
2022-06-10,CANBK.NS,Canara Bank,Public,35.20042419433594
2022-06-13,CANBK.NS,Canara Bank,Public,33.39765930175781
2022-06-14,CANBK.NS,Canara Bank,Public,33.37227249145508
2022-06-15,CANBK.NS,Canara Bank,Public,32.960914611816406
2022-06-16,CANBK.NS,Canara Bank,Public,31.691837310791016
2022-06-17,CANBK.NS,Canara Bank,Public,31.656829833984375
2022-06-20,CANBK.NS,Canara Bank,Public,30.55405044555664
2022-06-21,CANBK.NS,Canara Bank,Public,31.936901092529297
2022-06-22,CANBK.NS,Canara Bank,Public,31.656829833984375
2022-06-23,CANBK.NS,Canara Bank,Public,31.83187484741211
2022-06-24,CANBK.NS,Canara Bank,Public,32.540809631347656
2022-06-27,CANBK.NS,Canara Bank,Public,32.85588836669922
2022-06-28,CANBK.NS,Canara Bank,Public,32.87339401245117
2022-06-29,CANBK.NS,Canara Bank,Public,32.602073669433594
2022-06-30,CANBK.NS,Canara Bank,Public,31.726852416992188
2022-07-01,CANBK.NS,Canara Bank,Public,32.35701370239258
2022-07-04,CANBK.NS,Canara Bank,Public,32.96966552734375
2022-07-05,CANBK.NS,Canara Bank,Public,33.100948333740234
2022-07-06,CANBK.NS,Canara Bank,Public,33.739864349365234
2022-07-07,CANBK.NS,Canara Bank,Public,36.50556945800781
2022-07-08,CANBK.NS,Canara Bank,Public,36.95193099975586
2022-07-11,CANBK.NS,Canara Bank,Public,37.97594451904297
2022-07-12,CANBK.NS,Canara Bank,Public,37.96718978881836
2022-07-13,CANBK.NS,Canara Bank,Public,38.19474792480469
2022-07-14,CANBK.NS,Canara Bank,Public,36.68061447143555
2022-07-15,CANBK.NS,Canara Bank,Public,36.07670974731445
2022-07-18,CANBK.NS,Canara Bank,Public,37.547088623046875
2022-07-19,CANBK.NS,Canara Bank,Public,39.06121826171875
2022-07-20,CANBK.NS,Canara Bank,Public,38.46607208251953
2022-07-21,CANBK.NS,Canara Bank,Public,39.60386276245117
2022-07-22,CANBK.NS,Canara Bank,Public,40.093990325927734
2022-07-25,CANBK.NS,Canara Bank,Public,39.35004425048828
2022-07-26,CANBK.NS,Canara Bank,Public,38.78990173339844
2022-07-27,CANBK.NS,Canara Bank,Public,39.743896484375
2022-07-28,CANBK.NS,Canara Bank,Public,39.59510803222656
2022-07-29,CANBK.NS,Canara Bank,Public,38.91243362426758
2022-08-01,CANBK.NS,Canara Bank,Public,39.402557373046875
2022-08-02,CANBK.NS,Canara Bank,Public,40.82041931152344
2022-08-03,CANBK.NS,Canara Bank,Public,40.60161209106445
2022-08-04,CANBK.NS,Canara Bank,Public,39.315040588378906
2022-08-05,CANBK.NS,Canara Bank,Public,38.7286376953125
2022-08-08,CANBK.NS,Canara Bank,Public,39.39380645751953
2022-08-10,CANBK.NS,Canara Bank,Public,39.47257614135742
2022-08-11,CANBK.NS,Canara Bank,Public,40.417816162109375
2022-08-12,CANBK.NS,Canara Bank,Public,40.44407653808594
2022-08-16,CANBK.NS,Canara Bank,Public,40.63662338256836
2022-08-17,CANBK.NS,Canara Bank,Public,41.870689392089844
2022-08-18,CANBK.NS,Canara Bank,Public,42.00197219848633
2022-08-19,CANBK.NS,Canara Bank,Public,40.37405776977539
2022-08-22,CANBK.NS,Canara Bank,Public,38.86867141723633
2022-08-23,CANBK.NS,Canara Bank,Public,40.10273742675781
2022-08-24,CANBK.NS,Canara Bank,Public,40.627872467041016
2022-08-25,CANBK.NS,Canara Bank,Public,41.79191970825195
2022-08-26,CANBK.NS,Canara Bank,Public,41.92320251464844
2022-08-29,CANBK.NS,Canara Bank,Public,41.135501861572266
2022-08-30,CANBK.NS,Canara Bank,Public,42.203277587890625
2022-09-01,CANBK.NS,Canara Bank,Public,42.79842758178711
2022-09-02,CANBK.NS,Canara Bank,Public,42.6758918762207
2022-09-05,CANBK.NS,Canara Bank,Public,42.93846130371094
2022-09-06,CANBK.NS,Canara Bank,Public,42.7634162902832
2022-09-07,CANBK.NS,Canara Bank,Public,42.22077941894531
2022-09-08,CANBK.NS,Canara Bank,Public,42.88595199584961
2022-09-09,CANBK.NS,Canara Bank,Public,42.63213348388672
2022-09-12,CANBK.NS,Canara Bank,Public,43.2535400390625
2022-09-13,CANBK.NS,Canara Bank,Public,43.218536376953125
2022-09-14,CANBK.NS,Canara Bank,Public,44.68891143798828
2022-09-15,CANBK.NS,Canara Bank,Public,44.190032958984375
2022-09-16,CANBK.NS,Canara Bank,Public,42.77216720581055
2022-09-19,CANBK.NS,Canara Bank,Public,43.22728729248047
2022-09-20,CANBK.NS,Canara Bank,Public,43.53361511230469
2022-09-21,CANBK.NS,Canara Bank,Public,43.31481170654297
2022-09-22,CANBK.NS,Canara Bank,Public,42.52710723876953
2022-09-23,CANBK.NS,Canara Bank,Public,40.10273742675781
2022-09-26,CANBK.NS,Canara Bank,Public,38.01095199584961
2022-09-27,CANBK.NS,Canara Bank,Public,37.503326416015625
2022-09-28,CANBK.NS,Canara Bank,Public,36.75938034057617
2022-09-29,CANBK.NS,Canara Bank,Public,37.704627990722656
2022-09-30,CANBK.NS,Canara Bank,Public,40.04147720336914
2022-10-03,CANBK.NS,Canara Bank,Public,38.92118453979492
2022-10-04,CANBK.NS,Canara Bank,Public,39.7701530456543
2022-10-06,CANBK.NS,Canara Bank,Public,39.743896484375
2022-10-07,CANBK.NS,Canara Bank,Public,40.093990325927734
2022-10-10,CANBK.NS,Canara Bank,Public,39.84892272949219
2022-10-11,CANBK.NS,Canara Bank,Public,38.98245620727539
2022-10-12,CANBK.NS,Canara Bank,Public,39.56010437011719
2022-10-13,CANBK.NS,Canara Bank,Public,39.12248992919922
2022-10-14,CANBK.NS,Canara Bank,Public,39.69137954711914
2022-10-17,CANBK.NS,Canara Bank,Public,41.555606842041016
2022-10-18,CANBK.NS,Canara Bank,Public,43.804935455322266
2022-10-19,CANBK.NS,Canara Bank,Public,43.58612823486328
2022-10-20,CANBK.NS,Canara Bank,Public,45.31906509399414
2022-10-21,CANBK.NS,Canara Bank,Public,47.00825119018555
2022-10-24,CANBK.NS,Canara Bank,Public,47.349586486816406
2022-10-25,CANBK.NS,Canara Bank,Public,49.74769973754883
2022-10-27,CANBK.NS,Canara Bank,Public,50.69294357299805
2022-10-28,CANBK.NS,Canara Bank,Public,50.38661193847656
2022-10-31,CANBK.NS,Canara Bank,Public,50.83298110961914
2022-11-01,CANBK.NS,Canara Bank,Public,51.1130485534668
2022-11-02,CANBK.NS,Canara Bank,Public,51.00802230834961
2022-11-03,CANBK.NS,Canara Bank,Public,51.646934509277344
2022-11-04,CANBK.NS,Canara Bank,Public,52.005775451660156
2022-11-07,CANBK.NS,Canara Bank,Public,54.167579650878906
2022-11-09,CANBK.NS,Canara Bank,Public,54.981536865234375
2022-11-10,CANBK.NS,Canara Bank,Public,53.72996520996094
2022-11-11,CANBK.NS,Canara Bank,Public,53.292354583740234
2022-11-14,CANBK.NS,Canara Bank,Public,53.24859619140625
2022-11-15,CANBK.NS,Canara Bank,Public,54.141319274902344
2022-11-16,CANBK.NS,Canara Bank,Public,53.74747085571289
2022-11-17,CANBK.NS,Canara Bank,Public,53.78247833251953
2022-11-18,CANBK.NS,Canara Bank,Public,54.167579650878906
2022-11-21,CANBK.NS,Canara Bank,Public,54.95528030395508
2022-11-22,CANBK.NS,Canara Bank,Public,55.786746978759766
2022-11-23,CANBK.NS,Canara Bank,Public,56.880767822265625
2022-11-24,CANBK.NS,Canara Bank,Public,57.510929107666016
2022-11-25,CANBK.NS,Canara Bank,Public,57.213356018066406
2022-11-28,CANBK.NS,Canara Bank,Public,56.7407341003418
2022-11-29,CANBK.NS,Canara Bank,Public,56.32062911987305
2022-11-30,CANBK.NS,Canara Bank,Public,55.08656311035156
2022-12-01,CANBK.NS,Canara Bank,Public,56.171844482421875
2022-12-02,CANBK.NS,Canara Bank,Public,55.865509033203125
2022-12-05,CANBK.NS,Canara Bank,Public,56.451908111572266
2022-12-06,CANBK.NS,Canara Bank,Public,55.77798843383789
2022-12-07,CANBK.NS,Canara Bank,Public,54.9465217590332
2022-12-08,CANBK.NS,Canara Bank,Public,56.78449249267578
2022-12-09,CANBK.NS,Canara Bank,Public,55.5854377746582
2022-12-12,CANBK.NS,Canara Bank,Public,56.10182189941406
2022-12-13,CANBK.NS,Canara Bank,Public,57.15209197998047
2022-12-14,CANBK.NS,Canara Bank,Public,57.3796501159668
2022-12-15,CANBK.NS,Canara Bank,Public,56.10182189941406
2022-12-16,CANBK.NS,Canara Bank,Public,54.438899993896484
2022-12-19,CANBK.NS,Canara Bank,Public,55.655460357666016
2022-12-20,CANBK.NS,Canara Bank,Public,56.390647888183594
2022-12-21,CANBK.NS,Canara Bank,Public,55.06905746459961
2022-12-22,CANBK.NS,Canara Bank,Public,54.587684631347656
2022-12-23,CANBK.NS,Canara Bank,Public,51.03428268432617
2022-12-26,CANBK.NS,Canara Bank,Public,53.318607330322266
2022-12-27,CANBK.NS,Canara Bank,Public,53.74747085571289
2022-12-28,CANBK.NS,Canara Bank,Public,55.331626892089844
2022-12-29,CANBK.NS,Canara Bank,Public,56.21560287475586
2022-12-30,CANBK.NS,Canara Bank,Public,58.34239959716797
2023-01-02,CANBK.NS,Canara Bank,Public,58.841278076171875
2023-01-03,CANBK.NS,Canara Bank,Public,58.955047607421875
2023-01-04,CANBK.NS,Canara Bank,Public,57.222103118896484
2023-01-05,CANBK.NS,Canara Bank,Public,57.3271369934082
2023-01-06,CANBK.NS,Canara Bank,Public,56.09306716918945
2023-01-09,CANBK.NS,Canara Bank,Public,57.1783447265625
2023-01-10,CANBK.NS,Canara Bank,Public,55.54167938232422
2023-01-11,CANBK.NS,Canara Bank,Public,55.66421127319336
2023-01-12,CANBK.NS,Canara Bank,Public,55.51542663574219
2023-01-13,CANBK.NS,Canara Bank,Public,56.81950378417969
2023-01-16,CANBK.NS,Canara Bank,Public,56.548187255859375
2023-01-17,CANBK.NS,Canara Bank,Public,55.944278717041016
2023-01-18,CANBK.NS,Canara Bank,Public,55.55918502807617
2023-01-19,CANBK.NS,Canara Bank,Public,56.04055404663086
2023-01-20,CANBK.NS,Canara Bank,Public,55.830501556396484
2023-01-23,CANBK.NS,Canara Bank,Public,56.548187255859375
2023-01-24,CANBK.NS,Canara Bank,Public,56.04055404663086
2023-01-25,CANBK.NS,Canara Bank,Public,53.57242965698242
2023-01-27,CANBK.NS,Canara Bank,Public,50.93800735473633
2023-01-30,CANBK.NS,Canara Bank,Public,51.13930130004883
2023-01-31,CANBK.NS,Canara Bank,Public,53.204833984375
