year,quarter,period,state,count,amount_inr,avg_ticket_inr
2019,1,2019Q1,dadra & nagar haveli & daman & diu,765460,972578611.6164718,1270.5805811100147
2019,1,2019Q1,delhi,36894345,44300658315.162735,1200.743862376815
2019,1,2019Q1,goa,869079,1729283766.1123345,1989.788921504644
2019,1,2019Q1,gujarat,26455226,36847763352.85492,1392.8349488624638
2019,1,2019Q1,haryana,25636840,38591994904.580345,1505.3335319243847
2019,1,2019Q1,himachal pradesh,2315161,3423445243.3702383,1478.7072015165418
2019,1,2019Q1,jammu & kashmir,1828165,3498272585.7855463,1913.543135212383
2019,1,2019Q1,jharkhand,10723720,15422660565.0615,1438.181952257379
2019,1,2019Q1,karnataka,84657050,114709621136.2433,1354.991948529311
2019,1,2019Q1,kerala,6612793,10360769392.460655,1566.7766089851377
2019,1,2019Q1,ladakh,60270,187343278.23590055,3108.400169834089
2019,1,2019Q1,lakshadweep,4622,15684901.402080331,3393.5312423367222
2019,1,2019Q1,madhya pradesh,38928866,49298676966.62583,1266.3784495193318
2019,1,2019Q1,maharashtra,73874732,107583453017.91046,1456.2956792575635
2019,1,2019Q1,manipur,322920,790454446.3704455,2447.8336627351837
2019,1,2019Q1,meghalaya,233798,446378841.01343787,1909.2500406908437
2019,1,2019Q1,mizoram,85219,256961523.2200399,3015.3078916678196
2019,1,2019Q1,nagaland,214053,552573719.187345,2581.4808444046334
2019,1,2019Q1,odisha,37193760,38343233060.509186,1030.9049975186479
2019,1,2019Q1,puducherry,497729,890540067.5128368,1789.2067119111741
2019,1,2019Q1,punjab,7829874,14541052478.294441,1857.1247095795463
2019,1,2019Q1,rajasthan,48143566,65499410518.32512,1360.501848124942
2019,1,2019Q1,sikkim,233031,479741568.5013781,2058.702784184843
2019,1,2019Q1,tamil nadu,25178515,46065559235.41664,1829.5582259484581
2019,1,2019Q1,telangana,64813405,93511348877.08844,1442.7779080128323
2019,1,2019Q1,tripura,722617,930951274.7847986,1288.305249924647
2019,1,2019Q1,uttar pradesh,64046373,84430169656.88228,1318.266214027175
2019,1,2019Q1,uttarakhand,6519708,8342691139.590234,1279.6111635045977
2019,1,2019Q1,west bengal,43101342,42921381534.937065,995.8247131826444
2019,2,2019Q2,andaman & nicobar islands,46764,163354796.04235423,3493.1741519620696
2019,2,2019Q2,andhra pradesh,73241659,144859083315.21857,1977.8236224171078
2019,2,2019Q2,arunachal pradesh,387295,1070406251.3836615,2763.8008530542907
2019,2,2019Q2,assam,5585407,10669441203.404137,1910.235226081848
2019,2,2019Q2,bihar,29212818,61070184415.5835,2090.5269876936727
2019,2,2019Q2,chandigarh,1081281,2214484682.804943,2048.019601569752
2019,2,2019Q2,chhattisgarh,10141906,18246258174.340855,1799.09557181272
2019,2,2019Q2,dadra & nagar haveli & daman & diu,660479,1087297036.7210982,1646.2249923481263
2019,2,2019Q2,delhi,43013774,58968863487.081665,1370.9297744271792
2019,2,2019Q2,goa,1066466,2165028896.673666,2030.0965025361015
2019,2,2019Q2,gujarat,27791578,46130544795.746445,1659.874973481047
2019,2,2019Q2,haryana,28298601,51094727148.558624,1805.5566474313916
2019,2,2019Q2,himachal pradesh,2594858,4771816578.540387,1838.950947813093
2019,2,2019Q2,jammu & kashmir,2119162,5403213176.7618475,2549.6933112059614
2019,2,2019Q2,jharkhand,11813006,21079454312.56851,1784.427631084629
2019,2,2019Q2,karnataka,119618345,168764960519.15936,1410.8618583475584
2019,2,2019Q2,kerala,7662538,13417623455.490543,1751.0677866120263
2019,2,2019Q2,ladakh,103394,370592586.9056551,3584.275556663395
2019,2,2019Q2,lakshadweep,5608,16590874.568089645,2958.429844523831
2019,2,2019Q2,madhya pradesh,41244464,67755802214.78655,1642.7853739301001
2019,2,2019Q2,maharashtra,99331337,147421594256.61255,1484.1398365212033
2019,2,2019Q2,manipur,367371,985994013.9163172,2683.9190189653436
2019,2,2019Q2,meghalaya,280284,589604772.2250164,2103.5976802993264
2019,2,2019Q2,mizoram,100958,321899390.5114357,3188.4485678345022
2019,2,2019Q2,nagaland,269720,724857602.930112,2687.444768389856
2019,2,2019Q2,odisha,30088286,44732976144.56491,1486.7239743920577
2019,2,2019Q2,puducherry,579081,1156468427.4018884,1997.0754132874129
2019,2,2019Q2,punjab,8907341,18919188553.255802,2123.9995811607305
2019,2,2019Q2,rajasthan,50086588,86638751323.82938,1729.7794635927162
2019,2,2019Q2,sikkim,298432,708397197.301439,2373.730690078273
2019,2,2019Q2,tamil nadu,30904172,60589725794.408585,1960.567841597846
2019,2,2019Q2,telangana,81454985,137682802492.51328,1690.293141574003
2019,2,2019Q2,tripura,787181,1193045264.9864974,1515.5920493336316
2019,2,2019Q2,uttar pradesh,67580108,110293020020.75023,1632.0337934462939
2019,2,2019Q2,uttarakhand,6345096,10996460352.932467,1733.0644568549421
2019,2,2019Q2,west bengal,44580900,54718845209.54506,1227.4055752473607
2019,3,2019Q3,andaman & nicobar islands,40623,151428296.95221972,3727.649286173343
2019,3,2019Q3,andhra pradesh,93033155,177040315932.09756,1902.980888180107
2019,3,2019Q3,arunachal pradesh,456122,1290611112.9316866,2829.5305048467003
2019,3,2019Q3,assam,6054473,12546298666.063118,2072.2362897750336
2019,3,2019Q3,bihar,29692696,64038814257.19348,2156.719425450403
2019,3,2019Q3,chandigarh,1428205,2696336857.265588,1887.9200515791415
2019,3,2019Q3,chhattisgarh,12460140,21416627955.839325,1718.8111815629138
2019,3,2019Q3,dadra & nagar haveli & daman & diu,754087,1278812027.1439939,1695.841497259592
2019,3,2019Q3,delhi,55742193,76468995159.52313,1371.8332746528852
2019,3,2019Q3,goa,1351959,2683370624.34643,1984.8017760497396
2019,3,2019Q3,gujarat,36868399,55866174464.90448,1515.286152374137
2019,3,2019Q3,haryana,36134187,62880149756.33475,1740.184434102108
2019,3,2019Q3,himachal pradesh,2800215,5428453807.341392,1938.5846470151012
2019,3,2019Q3,jammu & kashmir,947784,3026506976.758377,3193.2454828931245
2019,3,2019Q3,jharkhand,15944483,23997376549.448486,1505.0583044585696
2019,3,2019Q3,karnataka,179767497,222928023150.4122,1240.0908221490797
2019,3,2019Q3,kerala,9633567,17115421520.797838,1776.6442607185727
2019,3,2019Q3,ladakh,121018,472038870.3422937,3900.5674390776057
2019,3,2019Q3,lakshadweep,5310,16856067.000797197,3174.4005651218827
2019,3,2019Q3,madhya pradesh,54896351,79071968085.57455,1440.3865948316775
2019,3,2019Q3,maharashtra,148759948,194352348539.17316,1306.4830362751482
2019,3,2019Q3,manipur,412093,1155501039.9430437,2803.9812371067787
