year,quarter,period,category,instrument,count,amount_inr,avg_ticket_inr,amount_lakh_cr,count_bn
2023,3,2023Q3,Utility,TOTAL,1376579779,1073595715818.6113,779.9008326262879,1.0735957158186114,1.376579779
2023,4,2023Q4,P2P,TOTAL,6647630864,20545071651642.883,3090.585514142183,20.545071651642882,6.647630864
2023,4,2023Q4,Retail,TOTAL,10978328265,5359809825867.9,488.21730380895116,5.359809825867901,10.978328265
2023,4,2023Q4,Utility,TOTAL,1409175913,1223199173650.7825,868.0244690293556,1.2231991736507826,1.409175913
2024,1,2024Q1,P2P,TOTAL,7336132265,22329194286455.582,3043.728422534866,22.329194286455582,7.336132265
2024,1,2024Q1,Retail,TOTAL,12362025799,5895178298681.608,476.878012919087,5.895178298681609,12.362025799
2024,1,2024Q1,Utility,TOTAL,1551676514,1292118825487.7725,832.7243557723737,1.2921188254877725,1.551676514
2024,2,2024Q2,P2P,TOTAL,7929913581,23817818325398.516,3003.540717324561,23.817818325398516,7.929913581
2024,2,2024Q2,Retail,TOTAL,14417003150,6559229555752.334,454.96484168780484,6.559229555752334,14.41700315
2024,2,2024Q2,Utility,TOTAL,1685219208,1452646564299.1975,861.9926460624566,1.4526465642991975,1.685219208
2024,3,2024Q3,P2P,TOTAL,8566987345,23963938756090.566,2797.242226589348,23.963938756090567,8.566987345
2024,3,2024Q3,Retail,TOTAL,15529951447,6750110686285.371,434.65111332265786,6.750110686285371,15.529951447
2024,3,2024Q3,Utility,TOTAL,1730624851,1642651067121.496,949.166462143618,1.642651067121496,1.730624851
2024,4,2024Q4,P2P,TOTAL,9368201927,26633866935111.484,2843.0073500391027,26.633866935111485,9.368201927
2024,4,2024Q4,Retail,TOTAL,17088280371,7602790305577.834,444.912544768419,7.602790305577834,17.088280371
2024,4,2024Q4,Utility,TOTAL,1767462539,1772670829005.7222,1002.9467611849182,1.7726708290057223,1.767462539
2025,1,2025Q1,P2P,TOTAL,9746733751,27829606589848.008,2855.2751414793424,27.82960658984801,9.746733751
2025,1,2025Q1,Retail,TOTAL,17844086266,7619245009688.357,426.9899223815127,7.619245009688357,17.844086266
2025,1,2025Q1,Utility,TOTAL,1917477198,1883178460673.604,982.1125709540792,1.883178460673604,1.917477198
