month,leg,volume_mn,value_brl_bn,volume_share,value_share
2022-11,P2G,3.158,0.705,0.001501,0.000766
2022-11,P2P,1388.507,351.395,0.66,0.381372
2022-12,B2B,66.012,375.071,0.027242,0.358306
2022-12,B2G,1.32,1.442,0.000545,0.001377
2022-12,B2P,159.569,137.582,0.065852,0.131432
2022-12,G2B,0.092,1.988,3.8e-05,0.001899
2022-12,G2G,0.018,3.656,7e-06,0.003492
2022-12,G2P,0.445,0.281,0.000184,0.000269
2022-12,Nao disponivel,0.0,0.0,0.0,0.0
2022-12,P2B,587.869,114.123,0.242604,0.109022
2022-12,P2G,3.879,1.201,0.001601,0.001147
2022-12,P2P,1603.96,411.445,0.661928,0.393054
2023-01,B2B,65.01,360.755,0.029781,0.37764
2023-01,B2G,1.635,1.652,0.000749,0.001729
2023-01,B2P,148.499,122.757,0.068028,0.128502
2023-01,G2B,0.041,1.193,1.9e-05,0.001249
2023-01,G2G,0.009,2.223,4e-06,0.002327
2023-01,G2P,0.18,0.183,8.3e-05,0.000191
2023-01,Nao disponivel,0.0,0.0,0.0,0.0
2023-01,P2B,565.102,106.44,0.258875,0.111422
2023-01,P2G,5.295,1.585,0.002426,0.001659
2023-01,P2P,1397.147,358.5,0.640037,0.37528
2023-02,B2B,62.422,332.878,0.028982,0.367307
2023-02,B2G,1.405,1.333,0.000652,0.001471
2023-02,B2P,148.546,119.877,0.06897,0.132275
2023-02,G2B,0.065,2.207,3e-05,0.002435
2023-02,G2G,0.011,2.844,5e-06,0.003138
2023-02,G2P,0.136,0.231,6.3e-05,0.000255
2023-02,Nao disponivel,0.347,0.053,0.000161,5.9e-05
2023-02,P2B,561.721,99.839,0.260806,0.110165
2023-02,P2G,4.183,1.059,0.001942,0.001169
2023-02,P2P,1374.954,345.945,0.638388,0.381726
2023-03,B2B,77.834,423.271,0.030571,0.385373
2023-03,B2G,1.72,1.487,0.000676,0.001354
2023-03,B2P,181.38,142.857,0.071241,0.130066
2023-03,G2B,0.091,2.497,3.6e-05,0.002274
2023-03,G2G,0.016,2.644,6e-06,0.002407
2023-03,G2P,0.33,0.326,0.00013,0.000297
2023-03,Nao disponivel,0.199,0.016,7.8e-05,1.4e-05
2023-03,P2B,683.754,121.714,0.268559,0.110816
2023-03,P2G,5.371,1.326,0.002109,0.001207
2023-03,P2P,1595.318,402.204,0.626595,0.366192
2023-04,B2B,72.483,395.025,0.028774,0.383763
2023-04,B2G,1.603,1.628,0.000636,0.001581
2023-04,B2P,176.452,134.011,0.070046,0.13019
2023-04,G2B,0.075,2.215,3e-05,0.002151
2023-04,G2G,0.012,3.092,5e-06,0.003004
2023-04,G2P,0.182,0.297,7.2e-05,0.000289
2023-04,Nao disponivel,0.0,0.0,0.0,0.0
2023-04,P2B,704.783,114.207,0.279778,0.110951
2023-04,P2G,5.255,1.423,0.002086,0.001382
2023-04,P2P,1558.232,377.449,0.618573,0.366688
2023-05,B2B,84.631,449.835,0.030676,0.39225
2023-05,B2G,1.899,1.708,0.000688,0.001489
2023-05,B2P,199.32,150.772,0.072246,0.131471
2023-05,G2B,0.095,2.567,3.4e-05,0.002238
