month,banks_live,volume_mn,value_cr,provenance,avg_ticket_inr,value_lakh_cr,volume_yoy,value_yoy
2021-09,259.0,3654.3,654351.81,npci_ckan_mirror,1790.6351695263118,6.543518100000001,1.030008777095115,0.9887440770177198
2021-10,261.0,4218.65,771444.98,npci_ckan_mirror,1828.6536688277056,7.7144498,1.036401463588882,0.9980096177549245
2021-11,274.0,4186.48,768436.11,npci_ckan_mirror,1835.518406871644,7.6843611,0.8941377141745428,0.9653140166672995
2021-12,282.0,4566.3,826848.22,npci_ckan_mirror,1810.7619297899832,8.2684822,1.0438554087442262,0.9867743521428096
2022-01,297.0,4617.15,831993.11,npci_ckan_mirror,1801.962487681795,8.3199311,1.0050765830123374,0.929564133595685
2022-02,304.0,4527.49,826843.0,npci_ckan_mirror,1826.2723937545968,8.26843,0.9745693226917875,0.9452256885547912
2022-03,314.0,5405.65,960581.66,npci_ckan_mirror,1776.9956619462969,9.6058166,0.9788738065952087,0.9025697342951022
2022-04,316.0,5583.05,983302.27,npci_ckan_mirror,1761.227769767421,9.8330227,1.113942886568272,0.991846493547996
2022-05,323.0,5955.2,1041520.0,npci_ckan_mirror,1748.92530897367,10.4152,1.3449639112133154,1.122784252728561
2022-06,330.0,5862.75,1014384.0,npci_ckan_mirror,1730.2187539976974,10.14384,1.0882383321875966,0.8531854602957611
2022-07,338.0,6288.4,1062991.0,npci_ckan_mirror,1690.3997837287704,10.62991,0.9361910450702315,0.7532971584766763
2022-08,346.0,6579.63,1072792.68,npci_ckan_mirror,1630.475695441841,10.7279268,0.8505238289434827,0.6785545744014456
2022-09,358.0,6780.8,1116438.1,npci_ckan_mirror,1646.4695906087777,11.164381,0.8555674137317679,0.7061740839381188
2022-10,365.0,7305.42,1211582.51,npci_ckan_mirror,1658.4707107873332,12.1158251,0.7316961587237625,0.5705365144770274
2022-11,376.0,7309.45,1190593.39,npci_ckan_mirror,1628.8412808077212,11.9059339,0.7459655844528101,0.5493719965866777
2022-12,382.0,7829.49,1282055.01,npci_ckan_mirror,1637.4693753999302,12.8205501,0.7146245318967215,0.550532466526928
2023-01,385.0,8036.89,1298726.62,npci_ckan_mirror,1615.9566946916036,12.9872662,0.7406603640774072,0.5609824220779907
2023-02,390.0,7534.76,1235846.62,npci_ckan_mirror,1640.193742070086,12.3584662,0.6642245482596318,0.4946569300338759
2023-03,399.0,8685.3,1410443.01,npci_ckan_mirror,1623.9427653621638,14.1044301,0.6067077964722096,0.46832181867807043
2023-04,414.0,8898.14,1407007.55,npci_ckan_mirror,1581.2378204883269,14.0700755,0.5937775946839092,0.43090033749235634
2023-05,445.0,9415.19,1489145.5,npci_ckan_mirror,1581.6414751056536,14.891455,0.5810031569048899,0.42978099316383744
